Latitude,Country,Longitude,Capital
34¡28'N,Afghanistan,69¡11'E,Kabul
41¡18'N,Albania,19¡49'E,Tirane
36¡42'N,Algeria,03¡08'E,Algiers
14¡16'S,American Samoa,170¡43'W,Pago Pago
42¡31'N,Andorra,01¡32'E,Andorra la Vella
08¡50'S,Angola,13¡15'E,Luanda
17¡20'N,Antigua and Barbuda,61¡48'W,W. Indies
36¡30'S,Argentina,60¡00'W,Buenos Aires
40¡10'N,Armenia,44¡31'E,Yerevan
12¡32'N,Aruba,70¡02'W,Oranjestad
35¡15'S,Australia,149¡08'E,Canberra
48¡12'N,Austria,16¡22'E,Vienna
40¡29'N,Azerbaijan,49¡56'E,Baku
25¡05'N,Bahamas,77¡20'W,Nassau
26¡10'N,Bahrain,50¡30'E,Manama
23¡43'N,Bangladesh,90¡26'E,Dhaka
13¡05'N,Barbados,59¡30'W,Bridgetown
53¡52'N,Belarus,27¡30'E,Minsk
50¡51'N,Belgium,04¡21'E,Brussels
17¡18'N,Belize,88¡30'W,Belmopan
06¡23'N,Benin,02¡42'E,Porto-Novo (constitutional cotonou) (seat of gvnt)
27¡31'N,Bhutan,89¡45'E,Thimphu
16¡20'S,Bolivia,68¡10'W,La Paz (adm.)/sucre (legislative)
43¡52'N,Bosnia and Herzegovina,18¡26'E,Sarajevo
24¡45'S,Botswana,25¡57'E,Gaborone
15¡47'S,Brazil,47¡55'W,Brasilia
18¡27'N,British Virgin Islands,64¡37'W,Road Town
04¡52'N,Brunei Darussalam,115¡00'E,Bandar Seri Begawan
42¡45'N,Bulgaria,23¡20'E,Sofia
12¡15'N,Burkina Faso,01¡30'W,Ouagadougou
03¡16'S,Burundi,29¡18'E,Bujumbura
11¡33'N,Cambodia,104¡55'E,Phnom Penh
03¡50'N,Cameroon,11¡35'E,Yaounde
45¡27'N,Canada,75¡42'W,Ottawa
15¡02'N,Cape Verde,23¡34'W,Praia
19¡20'N,Cayman Islands,81¡24'W,George Town
04¡23'N,Central African Republic,18¡35'E,Bangui
12¡10'N,Chad,14¡59'E,N'Djamena
33¡24'S,Chile,70¡40'W,Santiago
39¡55'N,China,116¡20'E,Beijing
04¡34'N,Colombia,74¡00'W,Bogota
11¡40'S,Comros,43¡16'E,Moroni
04¡09'S,Congo,15¡12'E,Brazzaville
09¡55'N,Costa Rica,84¡02'W,San Jose
06¡49'N,Cote d'Ivoire,05¡17'W,Yamoussoukro
45¡50'N,Croatia,15¡58'E,Zagreb
23¡08'N,Cuba,82¡22'W,Havana
35¡10'N,Cyprus,33¡25'E,Nicosia
50¡05'N,Czech Republic,14¡22'E,Prague
39¡09'N,Democratic People's Republic of,125¡30'E,P'yongyang
04¡20'S,Democratic Republic of the Congo,15¡15'E,Kinshasa
55¡41'N,Denmark,12¡34'E,Copenhagen
11¡08'N,Djibouti,42¡20'E,Djibouti
15¡20'N,Dominica,61¡24'W,Roseau
18¡30'N,Dominica Republic,69¡59'W,Santo Domingo
08¡29'S,East Timor,125¡34'E,Dili
00¡15'S,Ecuador,78¡35'W,Quito
30¡01'N,Egypt,31¡14'E,Cairo
13¡40'N,El Salvador,89¡10'W,San Salvador
03¡45'N,Equatorial Guinea,08¡50'E,Malabo
15¡19'N,Eritrea,38¡55'E,Asmara
59¡22'N,Estonia,24¡48'E,Tallinn
09¡02'N,Ethiopia,38¡42'E,Addis Ababa
51¡40'S,Falkland Islands (Malvinas),59¡51'W,Stanley
62¡05'N,Faroe Islands,06¡56'W,Torshavn
18¡06'S,Fiji,178¡30'E,Suva
60¡15'N,Finland,25¡03'E,Helsinki
48¡50'N,France,02¡20'E,Paris
05¡05'N,French Guiana,52¡18'W,Cayenne
17¡32'S,French Polynesia,149¡34'W,Papeete
00¡25'N,Gabon,09¡26'E,Libreville
13¡28'N,Gambia,16¡40'W,Banjul
41¡43'N,Georgia,44¡50'E,T'bilisi
52¡30'N,Germany,13¡25'E,Berlin
