headline,date,lead_paragraph,id,word_count
NEW YORK BOOKSHELF/NONFICTION,2005-10-02,"A WIDOW'S WALK: A Memoir of 9/11 By Marian Fontana Simon & Schuster ($24, hardcover) Theresa and I walk into the Blue Ribbon, an expensive, trendy restaurant on Fifth Avenue in Park Slope. We sit at a banquette in the middle of the room and read the eclectic menu, my eyes instinctively scanning the prices for the least expensive item.",4fd2872b8eb7c8105d858553,629
"Jimmy Woode, Ex-Ellington Bassist, 78",2005-04-30,"Jimmy Woode, a bassist who spent five years with Duke Ellington but was best known as one of the leading figures on the European jazz scene, died on Saturday at his home in Lindenwold, N.J. He was 78. He died of postoperative complications after surgery for a stomach aneurism, his daughter Deirdre Woode said.",4fd25dff8eb7c8105d80cfb5,413
The Flip Side Of American Music,2005-11-13,"MORE than 30 years ago, Vivian Perlis began tape recording interviews with major American composers, performers and others with something to say on the history of 20th-century American music. The result became the Oral History American Music archive at Yale University, which scholars widely consider the world's definitive archive of historical material on American music and which has become a leading resource for scholars, musicians, documentary filmmakers, and television and radio producers looking for raw source material on the field.",4fd264558eb7c8105d8179d9,1121
Bobby Short's Legacy,2005-03-28,"To the Editor: In describing the career and artistry of Bobby Short (obituary, March 22), you did not mention a very important legacy that Bobby gave to New Yorkers: the statue of Duke Ellington at Fifth Avenue and 110th Street.",4fd247828eb7c8105d7e2edf,140
"...And All That Jazz Memorabilia; The History of a Musical Form, in 80,000 Photos",2005-03-01,"In a basement apartment on Charlton Street in the West Village, there are eight tall file cabinets stuffed with hundreds of dog-eared manila folders. The cabinets do not look imposing or important, but they contain possibly the finest collection of jazz photos in the world.",4fd2a5e18eb7c8105d88dce7,1276
Sound Portraits Influenced By the View From the Train,2005-02-26,"When jazz bands played one-nighters in long lists of fourth-tier American towns, trains were a major part of their logistical life. But trains naturally crept into jazz composers' aesthetic lives, too. At least, this was the case with Duke Ellington, who worked so much about the outside world into his music. The Lincoln Center Jazz Orchestra has seized on the train theme in jazz before, most memorably in a 1990 concert of Ellington music that included a little train-related sequence. On Thursday night, the band played an entire program of train music titled ''Full Steam Ahead'' and heavily tilted toward the music of Ellington and its leader, Wynton Marsalis. (The exceptions were Hall Overton's big-band orchestration of Thelonious Monk's ''Little Rootie Tootie'' and a showy, upbeat piece by Wycliffe Gordon, ''West End Choo-Choo,'' with the young singer Jennifer Sanon.)",4fd2839e8eb7c8105d851e29,533
The Listings; LESTER YOUNG,2005-03-11,"Since 1965, jazz and religion have formed a literal crossroads at the Jazz Ministry of St. Peter's Lutheran Church, in Midtown Manhattan. The Rev. John Garcia Gensel, a great friend to musicians including Duke Ellington, started the ministry; at his death in 1998, he was succeeded by the Rev. Dale Lind. The jazz ministry serves its Samaritan function, but it is also a sort of social hub, and one of the hidden forces that holds the large community of jazz musicians together in New York. Aside from Sunday-evening jazz vespers, memorial services for departed jazz musicians and other regular events, the jazz ministry holds an annual fund-raiser centering on the legacy of Lester Young, above, a musician who will never pass out of favor. The 21st edition of ''To Prez With Love'' happens on Sunday evening, with an impressive lineup of musicians (and storytellers) spanning three generations, including Don Byron, Lou Donaldson, Junior Mance, Connie Crothers, Ron Blake, Gene Bertoncini, the radio host Phil Schaap and many others. (Sunday at 7 p.m., St. Peter's Church, 619 Lexington Avenue, at 54th Street, (212)935-2200 for information or www.saintpeters.org. Suggested donation $15.) BEN RATLIFF",4fd246028eb7c8105d7e0bbf,191
GEOFFREY KEEZER TRIO,2005-10-14,"The pianist Geoffrey Keezer has been pegged as a dexterous hard-bopper since the late-1980's, when he held a prestigious post with Art Blakey's Jazz Messengers while still underage. Mr. Keezer, above, hasn't disavowed those first impressions, but his career has recently expanded to match the breadth of his interests. As a member of the Christian McBride Band, Mr. Keezer plays electric keyboards in a setting perhaps best described as postfusion; he has lately been doing a smoother version of the same thing with David Sanborn. In 2003 he released an ambitious solo album that notably featured the Hawaiian slack-key-guitar master Keola Beamer; this summer he teamed up with another guitar legend, Jim Hall, for a forthcoming album of duets. Mr. Keezer's latest effort as a leader, ''Wildcrafted'' (MaxJazz), documents his trio at the Dakota Jazz Club in Minneapolis last year. The album's originals range from somber classicism (''Ghost in the Photograph'') to kinetic soul (''Mirrim''); each setting effectively showcases Mr. Keezer's piano playing, which weds prodigious technique to a disarmingly earnest lyricism. The choice of covers is just as telling: Mr. Keezer recasts signature standards by Benny Goodman and Duke Ellington; ''Venus as a Boy'' by Bjork and ''Koikugari Bushi'' by the Okinawan folksinger Sadao China. It would all sound like a hodgepodge if not for Mr. Keezer's easy but focused rapport with his rhythm-mates, and especially with the drummer Terreon Gully. (Matt Clohesy plays bass on the album; Mike Pope will appear here.) This week's Village Vanguard run should help earn the group its due as one of the sharper contemporary piano trios on the scene. (Tuesday through Oct. 23 at 9 and 11 p.m., with a 12:30 a.m. set tomorrow, Village Vanguard, 178 Seventh Avenue South, West Village, (212)255-4037; cover, $20 to $25, with a $10 minimum.) NATE CHINEN",4fd260ff8eb7c8105d812225,307
"Arts, Briefly; Strawberry Field No More",2005-01-18,"The Salvation Army plans to close Strawberry Field, above, the children's home that inspired John Lennon to write the Beatles classic ''Strawberry Fields Forever'' in 1966. The institution, near Lennon's home in Liverpool, England, was opened in 1936 and became a tourist attraction for Beatles fans. ''Strawberry Field has served children and young people well over the years in providing accommodation and support for the future,'' said Maj. Marion Drew, the divisional leader of the Salvation Army in northwest England, ''but care for young people has moved on significantly, and we are responding to that change.'' In 1984, Lennon's widow, Yoko Ono, donated $120,000 to keep the home open, and members of the British Beatles Fan Club have asked her to intervene to save it from closing, a step scheduled for May 2007. MARION UNDERHILL Footnotes Elvis Presley is on the top of the British pop charts for the second week in a row with a reissue of his 1959 hit ''One Night.'' It is the 1,000th song to be a No. 1 on the chart, which began in 1952. Last week a reissue of ''Jailhouse Rock'' held that place. Throughout the 1980's and 90's the trombonist Ed Neumeister was a busy jazz musician in New York, playing with the Vanguard Jazz Orchestra and Duke Ellington Orchestra, among others. In 1999 he moved to Austria, where he teaches at the University of Music in Graz, as well as at the Music Conservatory in Lucerne, Switzerland. Tonight he returns to the Jazz Standard to celebrate the release of his latest CD, ''New Standards,'' released on his own MeisteroMusic label. The 13th annual Outsider Art Fair is to take place at the Puck Building, at Houston and Lafayette Streets in SoHo, from Jan. 28 to 30 after a preview on Jan. 27.",4fd24a478eb7c8105d7e7ff7,300
The Listings: June 17 -- June 23; VIJAY IYER,2005-06-17,"He appeared about 10 years ago in the San Francisco Bay Area, a very young jazz pianist bursting with micro- and macro- and meta-theories. He wanted to unite jazz and funk, Indian drone elements and swing; he also seemed to want to synthesize four pianists, related but still diverse: Duke Ellington, Andrew Hill, Thelonious Monk and Cecil Taylor. (There were urgent political themes, too, addressed in liner notes.) His music was usually based in odd meters and played hard and dry; it could be daunting. He wasn't working in a vacuum, though, and kept sanding down his sound. Some of his most important early colleagues, like the alto saxophonist Rudresh Mahanthappa and the guitarist Liberty Ellman, ended up in New York around the same time that he did, in 1998; then the circle expanded again, bringing in the drummer Derrek Phillips and the bassist Stephan Crump. Now Mr. Iyer, above, leads a quartet that includes Mr. Mahanthappa, Mr. Crump and the drummer Marcus Gilmore, who is only 19 but has the potential to become one of the bulldozing presences in New York jazz. The band's most recent album, ''Reimagining'' (Savoy Jazz), is its best, and Mr. Iyer's gigs are attaining a newly urgent momentum, with some genuine lyricism offsetting the rhythm attack. He's a jazz musician of the moment, and now's the time to hear him. (Tuesday through Thursday at the Jazz Standard, 116 East 27th Street, Manhattan, (212)576-2232; sets are at 7:30 and 9:30 p.m., and the cover charge is $20.) BEN RATLIFF",4fd25e938eb7c8105d80ddb4,254
