,SEARCH_ROW,PUBLICATION,DATE,TITLE,EDITION,SECTION,BYLINE,LANGUAGE,PUBLICATION.TYPE,LENGTH,TEXT,pos_prop,neg_prop,ceo_men,ceo_women
2,3,The New York Times,"May 19, 2013",What's 'Pro-Business'?,Late Edition - Final,Section BU; Column 0; Money and Business/Financial Desk; LETTERS; Pg. 4,,ENGLISH,Newspaper,154 words,"To the Editor: Re ''Friend of the Corporation'' (May 5), about rulings by the Supreme Court during the tenure of Chief Justice John G. Roberts Jr.: The companies cited as beneficiaries of recent rulings by the court -- AT&T, Comcast and Wal-Mart -- are huge corporations, and their policy interests have little in common with the concerns of most American businesses. So why repeatedly call those rulings ''pro-business''? Countless small businesses will be harmed as a result of weakening antitrust law and by allowing mandatory-arbitration clauses to preclude class-action remedies. Small-business owners, like the rest of us, have no viable recourse against harm by global corporations unless they can team up to challenge abuses. Needlessly broad labels like ''pro-business'' obfuscate whose interests really are at stake. Bozeman, Mont., May 6 The writer is co-director of the American Independent Business Alliance.",0.0785714286,0.0785714286,1,0
3,4,The New York Times,"September 9, 2013",Economic Reports for the Week of Sept. 9,Late Edition - Final,Section B; Column 0; Business/Financial Desk; LOOKING AHEAD; Pg. 2,,ENGLISH,Newspaper,241 words,"ECONOMIC REPORTS Data to be released includes consumer credit for July (Monday); the National Federation of Independent Business Small Business Optimism report for August (Tuesday); wholesale inventories for July (Wednesday); weekly initial jobless claims and the import price index for August (Thursday); and the producer price index for August, retail sales for August, and the Thomson Reuters/University of Michigan preliminary consumer sentiment index for September (Friday). CORPORATE EARNINGS Companies scheduled to release quarterly results include Hovnanian Enterprises and Palo Alto Networks (Monday); Restoration Hardware (Tuesday); Vera Bradley (Wednesday); Kroger (Thursday); and Pier 1 Imports (Friday). IN THE UNITED STATES Apple on Tuesday is expected to introduce the latest models of its iPhone at its headquarters in Cupertino, Calif. On Thursday, Dell shareholders are set to vote on the sweetened $13.88-a-share buyout offer by the company's founder, Michael S. Dell, left, and Silver Lake Partners. OVERSEAS The 65th Frankfurt International Motor Show opens Tuesday. On Thursday, Mario Draghi, the president of the European Central Bank, will speak at a conference in Latvia, while the Bank of England governor, Mark J. Carney, will testify about monetary policy that day at a parliamentary hearing. On Friday, the European Union finance ministers will gather in Vilnius, Lithuania, to discuss a proposal to build a banking union.",0.0330188679,0.0047169811,1,0
10,25,The New York Times,"June 10, 2013",Economic Reports for the Week Ahead,Late Edition - Final,Section B; Column 0; Business/Financial Desk; LOOKING AHEAD; Pg. 2,,ENGLISH,Newspaper,380 words,"ECONOMIC REPORTS Data to be released include wholesale trade inventories, job openings and labor turnover, and the Small Business Optimism Index from the National Federation of Independent Business (Tuesday); the Treasury's monthly statement on the federal budget (Wednesday); retail sales for May, initial jobless claims, weekly mortgage rates, the import price index, and business inventories (Thursday); and the producer price index, industrial production, and the University of Michigan's preliminary consumer sentiment index (Friday). CORPORATE EARNINGS Companies scheduled to release quarterly reports include Prada (Tuesday), H&R Block (Wednesday) and Smithfield Foods (Friday). IN THE UNITED STATES On Monday, Apple will begin a four-day developers conference in San Francisco, and dealers must start guaranteeing credit and interest-rate swaps through clearinghouses, in the next phase of the rules under the Dodd-Frank law. On Tuesday, Boeing will issue its forecast for the commercial jetliner market, and the Senate is expected to start debating immigration legislation. On Wednesday, Sprint Nextel shareholders are set to vote on SoftBank's $20.1 billion bid for the company, and Coty, the cosmetics company, will price an initial public offering. On Thursday, Coty shares are scheduled to begin trading. On Friday, Thomas M. Hoenig, the vice chairman of the Federal Deposit Insurance Corporation, and H. Rodgin Cohen, chairman of the Wall Street law firm Sullivan & Cromwell, will be among panelists for a debate on ''too big to fail'' banks at the Brookings Institution. OVERSEAS On Monday, the Austrian Central Bank will hold an economic conference, and figures will be released on European industrial production. On Tuesday, the Bank of Japan will announce its decision on interest rates, Britain will report on industrial production, and the European Union will issue an action plan for the steel industry. On Wednesday, the World Bank will release a report on global economic prospects, and figures will be released for European Union inflation and euro zone industrial production. On Thursday, the Bank of Japan will release minutes from its policy meeting, and Toyota will hold its annual meeting. On Friday, inflation and employment data for the euro zone will be released.",0.0578034682,0.0115606936,1,0
11,26,The New York Times,"January 7, 2013",Rise of Data From Sensors,Late Edition - Final,Section B; Column 0; Business/Financial Desk; BITS; Pg. 6,By STEVE LOHR,ENGLISH,Newspaper,475 words,"For a column that laid out some second thoughts on Big Data, one of the people I talked to was Thomas H. Davenport, who has worked in the fields of knowledge management and analytics for 15 years. Data analytics is the predecessor to Big Data. He knows the context -- what's new and what's not with Big Data -- as well as anyone. Mr. Davenport, a visiting professor at the Harvard Business School (on leave from Babson College), has authored and co-authored several books on analytics, including ""Competing on Analytics: The New Science of Winning"" (with Jeanne G. Harris, Harvard Business School Press, 2007). Shortly after the Big Data phenomenon took off, Mr. Davenport said, only half-joking, that he considered simply substituting the term ""Big Data"" for ""analytics"" for updated versions of his books. But as he looked more deeply, there really was something different in Big Data. Data volumes have been steadily increasing for decades, Mr. Davenport noted, though the pace has accelerated sharply in the Internet age. ""More than the amount of data itself, the unstructured data from the Web and sensors is a much more salient feature of what is being called Big Data,"" he said. I also asked David B. Yoffie, a technology and competitive strategy expert at Harvard, who is not part of the Big Data crowd, what he thought. The Internet, he observed, has been a mainstream technology for 15 years, and so has the ability to monitor and mine Web browsing behavior and online communications, even if those skills are much improved now. Still, Mr. Yoffie is most impressed by the rapid spread of low-cost sensors that make it possible to monitor all kinds of physical objects, from fruit shipments (sniffing for signs of spoilage) to jet engines (tracking wear to predict when maintenance is needed). ""The ubiquity of sensors is new,"" Mr. Yoffie said. ""The sensors make it possible to get data we never had before."" Machine-generated sensor data will be become a far larger portion of the Big Data world, according to a recent report by IDC. The research report, ""The Digital Universe in 2020,"" published in December, traces data trends from 2005-20. One of its forecasts is that machine-generated data will increase to 42 percent of all data by 2020, up from 11 percent in 2005. ""It's all those sensors, the Internet of Things data,"" said Jeremy Burton, an executive vice president at EMC, which sponsored the IDC report. The implication is that Big Data technology will steadily move beyond the consumer Internet. Industrial companies like General Electric are already making big bets on the payoff. The IDC forecast also suggests that there is a lot of substance to the vision of machine-to-machine communication and intelligence that W. Brian Arthur terms ""the second economy."" This is a more complete version of the story than the one that appeared in print.",0.025,0.0104166667,1,0
21,53,The New York Times,"January 22, 2013","In Davos, a Chance to Rub Shoulders With the Elite of Business and Politics",Late Edition - Final,Section B; Column 0; Business/Financial Desk; DEALBOOK; Pg. 4,By LIZ ALDERMAN,ENGLISH,Newspaper,757 words,"The minimum $20,000 entry fee has been paid. Fur hats and silk underwear are in the luggage. And stacks of business cards are ready to be slipped into the palms of the business and political elite gathering this week at the snowy alpine fortress that is the World Economic Forum in Davos, Switzerland. For the more than 2,500 people making the pilgrimage this year, some personalities will command more attention than others. On the Continent, where fears of the euro's imminent demise dominated thinking for the last year, Chancellor Angela Merkel of Germany and the president of the European Central Bank, Mario Draghi, are being credited rather than pilloried these days for saving the euro from disaster. Together with Prime Minister Mario Monti of Italy and the International Monetary Fund's managing director, Christine Lagarde, they will be among the keynote speakers on whether Europe's fortunes will at last take a turn for the better. Prime Minister David Cameron of Britain may throw cold water on that idea, if he attends. But in Davos, if he does turn up, his main task may be to explain why investors should not be spooked by his warning that Britain may drift away from the European Union. With plenty of dynamism stirring outside Europe, emerging markets leaders will be making the case for investment dollars to flow their way. Executives and academics from China and India will swarm the halls to discuss the evolution in their economic climate, which has cooled since a year ago but remains well ahead of those in Western economies. Prime ministers from a number of African countries will also make the trek to explain how dynamism continues to build, especially on the southern part of the continent. Two years after the Arab Spring unfolded, numerous decision-makers from North Africa will outline plans for overhauls and address the political, social and economic transitions, and upheavals, in their countries. With fighting in Mali still making headlines and the Algerian gas-field hostage disaster still being sorted out, North African issues are very likely to be prime topics. Not everyone has been panting to get to Davos. Officials from the United States, for example, will barely be represented. But those coming - including Senator John McCain, Republican of Arizona, who is a regular at the forum, and Susan Rice, the United States ambassador to the United Nations and a former candidate to be the next secretary of state - are likely to stir controversy. And some of the highest-wattage regulars are turning their attention elsewhere. Three notable absentees will be the top Google executives, Sergey Brin, Larry Page and Eric E. Schmidt. (For Mr. Schmidt, Davos evidently doesn't have the same allure as North Korea, where he visited recently.) Google has not said why its leaders are not attending. But some other men with big money will be on hand, though Jamie Dimon, the chief of JPMorgan Chase, can't count on quite as much money as before, now that the bank's board had decided to dock his pay after a multibillion-dollar trading loss in 2012. Stephen A. Schwarzman of the Blackstone Group, Brian T. Moynihan of Bank of America and George Soros will all be sniffing out investments. So will Lloyd C. Blankfein, the head of Goldman Sachs, who has shunned Davos in the past but decided to join the party this time. It's not all about deals, though. Bill and Melinda Gates, hardy Davos perennials, will again be there to preach the need to invest in what counts for future generations: education, health and related philanthropic activity. For celebrity sizzle, the South African actress Charlize Theron will be in town to promote her Africa Outreach Project. The forum discouraged celebrities for a while after Sharon Stone stole the show in 2005 and Brad Pitt and Angelina Jolie did the same the following year. Since then, a few stars have swanned in, mostly, it seems, out of curiosity. Last year, Mick Jagger sidled into a spate of private Davos parties wearing a velvet plum jacket and a lilac shirt, speaking eruditely about current events with people like Jimmy Wales, the founder of Wikipedia, before busting a few lanky dance moves late in the evening. This year, another power broker expected to prowl the corridors is Derek Jeter of the New York Yankees. Whether anyone will consider face time with him a must probably depends on a given attitude toward American baseball generally, and the widely followed Yankees specifically. This is a more complete version of the story than the one that appeared in print.",0.0394218134,0.0210249671,1,0
24,58,The New York Times,"June 23, 2013",When Your Office Is Someone Else's Home,Late Edition - Final,Section BU; Column 0; Money and Business/Financial Desk; PREOCCUPATIONS; Pg. 8,By KIM FARMER.,ENGLISH,Newspaper,707 words,"As told to Patricia R. Olsen.  I WORKED in a business office for Verizon for seven years, but in 2006 I became one of its facilities technicians. In addition to installing fiber optic cables in people's homes, I climb telephone poles to check customers' cables and make service calls when there's a problem. For example, if one of our set-top boxes hooked to a television needs to be rebooted, I'll be assigned to do that. The chance to be outdoors drew me to this job. But beyond that, there's a sense of freedom in not being tied to a desk. Even though I work for a big corporation, my job still offers a lot of leeway. I'm still accountable, but there's no one standing over me telling me what to do. In a way, I have more freedom than people who decide to start a company because they want to be their own boss. Business owners aren't always as free as they'd like to think. They still have to work to bring in money or they won't be in business for long. I had a group of co-workers as friends when I worked in a building, but there's also a camaraderie among people who see one another on the road all the time. I wave to my Verizon colleagues, along with city workers, delivery people, postal workers and others I've come to know. Most wave back, including some technicians who work for other communications companies. You make your work friends as you can. Going into people's homes may seem more casual than working in an office, but those homes are my workplace. Not every customer understands that. Some people are shocked when they open the door and see a woman working as a technician. I'd compare it to a group of executives walking into a conference room to meet with representatives of another company. If they encounter a woman at the table, they might not always consider that she could be the president or the C.E.O. When a woman opens the door, she seems to love seeing another woman standing there. But some men don't quite know what to think. I've met a few who think that only men can do this job. They may say, ''Where's your partner?'' and I tell them it's just me. It can get dicey when I say that I'll be drilling in their houses. One customer became upset and wanted to talk to my supervisor, and I encouraged him to call. I knew that my boss would tell him that I was a top-notch technician. The man reluctantly let me continue, and, when he saw that I could do the job, he was fine. I like to think that I can handle pretty much anything, which, again, makes me feel that I'm my own boss. Whether working in an office or at another location, other women might feel strongly about gender stereotyping, but I don't take it personally. I ignore the comments. I find that a smile can overcome just about anything, so I just go about my work and keep smiling. I also have to be professional. During one appointment, a woman wanted me to watch her 3-week-old daughter while she left to pick up her other child from school. ''I really can't,'' I told her. I'm not permitted to be responsible for someone's child or to work alone in a house. I probably have even more rules when working in people's homes than I did at an office. I sympathize with office workers who have had overly neat or messy officemates. I like things extremely tidy, so I appreciate walking into a home and finding it neat and clean. That's one thing I miss about the office, where I would say something to a co-worker if I found a work area distracting or unsanitary. Instead, I now carry a hand sanitizer with me. I like working in a home where music is playing. Residents will often ask me if I want them to turn it off, but I visit diverse communities and enjoy listening to various types of music that I wouldn't ordinarily hear. OFTEN, I run into pets in people's homes. I was bitten by a dog as a teenager, so when customers have a dog, I ask them to put it in another room. ''Oh, he won't bite,'' they always say, but I insist. It's safer. Telecommuters sometimes say they become lonely working by themselves, but I never feel that way. Occasionally, one of my co-workers comes along with me during the day, but I find it easier to work alone. I'm accustomed to doing things a certain way, and, sometimes, another worker can slow me down. I can't see myself ever going back to an office.",0.0325814536,0.0162907268,1,0
25,61,The New York Times,"July 3, 2013",U.S. Factory Orders Suggest Manufacturing Is Improving,Late Edition - Final,Section B; Column 0; Business/Financial Desk; Pg. 4,By THE ASSOCIATED PRESS,ENGLISH,Newspaper,333 words,"WASHINGTON -- Orders to American factories rose in May, helped by a third straight month of stronger business investment. The gains suggest that manufacturing may be picking up after a weak start to the year. The Commerce Department said on Tuesday that factory orders rose 2.1 percent in May. April's increase was revised higher, to 1.3 percent from 1 percent. Most of the increase in May was because of a big jump in commercial aircraft demand. Still, businesses also ordered more machinery, computers and household appliances. A category of orders that is viewed as a proxy for business investment plans -- which excludes the volatile areas of transportation and defense -- rose 1.5 percent. That rise was even stronger than the gains in the previous two months. This measure of business investment had not increased for three straight months since the fall of 2011. The consecutive gains suggest manufacturing in the United States could improve in the second half of the year. Despite its boost to the economy in the first three years after the recession ended, manufacturing has struggled this year. American factories have seen less demand for exports because of a weaker global growth. And businesses reduced their investment in machinery and equipment in the first quarter. The May report showed that orders for long-lasting goods, like power generation equipment and ships, rose 3.7 percent in May. Orders for nondurable goods, including paper, chemicals and oil, rose 0.7 percent. Demand for commercial aircraft increased about 51 percent, after a 18.4 percent gain in April and a drop of 43.3 percent in March. Orders for autos and auto parts fell 2 percent, after jumping 4.1 percent in April, but the decline is most likely temporary. American automakers on Tuesday reported healthy sales gains in June. Ford Motor's sales soared 13 percent in June compared with a year earlier. Chrysler's sales rose 8 percent. The numbers suggest that auto production will resume a healthy pace in the next months.",0.0364741641,0.0303951368,1,0
27,66,The New York Times,"July 15, 2013",Q. and A. With Stuart Elliott,The New York Times on the Web,Section ; Column 0; Business/Financial Desk; Pg.,By STUART ELLIOTT,ENGLISH,Newspaper,577 words,"Stuart Elliott, the advertising columnist, answers questions from readers each week. Questions can be sent to stuarte@nytimes.com Q. Am I seeing things? The new AT&T ''business solutions'' spot with veterinarians needing more dogs and other business people seeking more customers for their various wares seems awfully similar to an American Express spot in which every vignette began with, ''I need ...'' There was also a vet in that commercial, too, as I recall. Is this a case of great minds thinking alike or borrowed interest that is too close for comfort? A. Thanks, dear reader, for your question about the AT&T commercial, which I put in front of Steve Schwadron, a senior vice president and partner at the New York office of FleishmanHillard who serves as a spokesman for AT&T on matters like advertising. Although the commercial, which promotes the company's services for small businesses, began appearing recently, according to Mr. Schwadron, it was actually produced in 2011. On YouTube, a clip of the American Express commercial is dated March 27, 2012. Putting that timing issue aside, any similarities between the two spots ''are incidental,'' Mr. Schwadron says. The AT&T commercial was created by BBDO Atlanta, part of the BBDO North America division of BBDO Worldwide, which is owned by the Omnicom Group. BBDO Atlanta also creates the popular series of commercials for AT&T that carry the theme ''It's not complicated'' and feature an earnest adult talking with children. Q. I have a terrible problem with an ad that appears for a bleach. I thought I'd share this with you as it causes a lot of laughter in our house. Every time it comes on, I am in hysterics. This is where a little boy calls out joyfully to his mother that he went to the bathroom. For the life of me, I cannot get it out of my mind that he is saying, ''Mommy, I'm Mitt Romney.'' I really don't mean this to be disparaging about Mr. Romney, but that's what it sounds like to me and I still can't figure out what he is saying, hence the hysterical laughter every time I see and hear it. A. Thanks, dear reader, for your unusual question. The spot, it turns out, is for Clorox bleach, sold by the Clorox Company, and it goes by the title ''Potty.'' The youngster is actually saying, ''Mommy, I made poo poo.'' The mother, pleased, replies, ''That's great, honey,'' entering the bathroom to peer into the toilet. Viewers see a puzzled look on her face. She says to the boy, ''Where?'' He replies silently, pointing to the bathtub. Cut to a hand, slamming a bottle of Clorox bleach onto a counter. ''For life's bleachable moments,'' an announcer declares. The commercial is created by the San Francisco office of DDB Worldwide, part of the Omnicom Group. Christie Giera, director for corporate communications and North American public relations at DDB, was initially puzzled by the question. Once she checked the dialogue, she replied in an e-mail, she confirmed that the child says, ''Mommy, I made poo poo.'' ''Therefore, we don't plan to comment,'' Ms. Giera wrote. Now at one point, dear reader, it crossed my mind that you may have been pulling my leg in suggesting that Mr. Romney's name is hard to distinguish from a mild scatological euphemism. But I will give you the benefit of the doubt in that I sometimes have trouble making out dialogue in commercials because it sounds soupy or muddy. But I draw a line at answering if another reader were to ask me if I have Prince Albert in a can.",0.0232945092,0.0432612313,1,0
30,70,The New York Times,"May 1, 2013",In-Room Entertainment Turns Away From TV,Late Edition - Final,Section F; Column 0; Business Travel; Pg. 2,By JANE L. LEVERE,ENGLISH,Newspaper,1381 words,"LEN MARKIDAN, a 26-year-old marketing consultant based in San Francisco, is the type of business traveler who forced LodgeNet, the hotel guest-room entertainment provider, to file recently for Chapter 11 bankruptcy protection. Mr. Markidan, who spends 40 percent of his time traveling on business and is an elite participant in the Hilton and Hyatt loyalty programs, takes his MacBook Pro and iPad with him on the road and watches all television programs by streaming them on his laptop, using a portable router to extend the Wi-Fi signal in his hotel room. ''For a lot of people my age and a lot of people in general, the way we consume entertainment at home is changing,'' he said. ''I no longer have a cable subscription -- the way I watch entertainment at home is the same way I watch it on the road. I have a Hulu subscription, Amazon Prime and Netflix.'' Guest-room entertainment ''is not an amenity that will drive my decision to stay at a hotel,'' he said, adding, ''I'm a lot more concerned with loyalty program perks.'' James Lingle of Highlands Ranch, Colo., a consultant to hotel companies and guest-room entertainment service providers like LodgeNet's competitor iBahn, observed: ''If you look back, typically the first thing a guest would do when they walked into the door of a hotel room would be to turn on the TV. Now people bring their entertainment with them, tablet-based devices like an iPad, accounts and memberships like Netflix, Amazon Prime and Hulu Plus, and they want to be able to use them.'' LodgeNet's decline directly reflects these changes. According to its bankruptcy filing, the number of hotel rooms it served globally dropped to 1.5 million in 2011 from 2 million in 2009. It provided guest-room entertainment services to most major hotel chains, usually by installing and maintaining free televisions and offering video-on-demand entertainment, for which it and the hotels received fees. LodgeNet's sales in 2011 were $421.3 million, a 21 percent drop from a high of $533.9 million in 2008. Colony Capital, a real estate and hotel investment firm in Los Angeles, led a group that invested $70 million in a controlling interest in LodgeNet, based in Sioux Falls, S.D., and brought in a management team of former Starwood, Fairmont and Hilton executives. LodgeNet, which emerged from bankruptcy in late March, also signed an agreement with DirecTV to jointly offer entertainment to hotels and hospitals. The revamped LodgeNet faces strong competition from companies including Swisscom Hospitality Services, based in Geneva; iBahn, based in Salt Lake City; Guest-Tek, of Calgary, Alberta; and Roomlinx, based in Broomfield, Colo. All are developing systems that let travelers consume entertainment the way Mr. Markidan does -- via the Internet, frequently through subscriptions they already have and use at home, either through Wi-Fi or a direct cable connection between their laptop or tablet and the guest-room television set. Different types of hotels have different policies regarding Internet access. Many less expensive hotels offer it free, while more expensive ones often charge for it. What's expected to happen next, speaking broadly, is that using the Internet for e-mail will be free, while many hotels will charge for uses requiring a lot of bandwidth, like downloading or streaming videos, with the cost tied to the amount of bandwidth required. ''We will give customers more short-form content at very attractive prices, affinity packages of sports channels, just-missed TV, video games, as well as movies currently in theaters,'' said Michael Ribero, Lodgenet's new chief executive. ''We want to give them the opportunity to watch what they want, even if it's through Netflix and Amazon Prime.'' He said LodgeNet will no longer provide television equipment in hotel guest rooms in exchange for video-on-demand fees. Instead, DirecTV will offer hotel owners lease financing for TVs, freeing capital that LodgeNet can invest in product and service improvements. C. Scott Hansen, director of guest technology for Marriott International, said his company's objective over the next several years was to connect every guest-room TV to the Internet. Marriott International also plans to limit the number of TV channels its brands offer to a targeted, all-high-definition lineup and to augment these with Internet-based, streaming content, via services like Netflix and YouTube. Bandwidth capacity at many Marriott International hotels will need to be increased to support these services, an expense Mr. Hansen said would be offset by guests' purchases of Internet access, commissions paid by services like Netflix for signing up new members and advertising revenue from companies that could use the TV or guest's laptop or tablet screen for messages. Josh Weiss, vice president of brand and guest technology for Hilton Worldwide, said his company offered a broad range of short, low-price TV programs, similar to those available from Netflix or iTunes, in many hotels, provided by LodgeNet and others. This content costs $2 to $5, far less than a full-length movie. Hilton Worldwide also offers a free, DirecTV service similar to DirecTV's residential service at over 150 hotels across most of its brands and plans to expand this service this year. Mike Blake, chief information officer of Commune Hotels and Resorts, said the company was considering keeping track of guests' channel preferences, which would automatically come up whenever a guest turned on the TV in the hotel room. He said this service, which guests could opt in for, should be available by the fourth quarter of this year. Other new services under consideration include the ability to customize music playlists for guests and to stream personal photos on guest room TVs. Apple TV in hotel rooms at the Aloft Cupertino, a Starwood hotel, lets guests play video and music and display photos from any Apple device on their television set. Starwood is evaluating offering this system and additional entertainment options at other Aloft and Starwood hotels. CitizenM, a Dutch chain of what it calls ''affordable luxury'' hotels -- now all in Europe, with two slated to open in Manhattan this year and next -- provides a Samsung tablet in each guest room, with technology from Swisscom that provides a music library and free video-on-demand TV and also controls the blinds, lighting and temperature. The 85-year-old Peninsula Hong Kong this month will finish installation of a guest-room entertainment system that Ingvar Herland, Peninsula Hotels' general manager of research and technology, said costs $10,000 to $25,000 a room. This proprietary system features fully customizable bedside and desk tablets preset in a choice of five languages, with six more to follow this year. The tablet allows the guest to order room, concierge and housekeeping services, and to control lighting, curtains, the temperature and privacy options. It also provides -- via a flat-screen, Blu-ray, LED television -- terrestrial programming, 90 international television channels, 450 Internet radio stations, free HD and 3-D movies, as well as free international voice-over-Internet protocol telephone calls. Mr. Herland said the new system would be offered at the Peninsula Paris, opening next year, and would eventually replace existing systems at other Peninsula hotels. Travelers should not expect a proliferation of new services like the Peninsula's, said Bjorn Hanson, divisional dean of the Preston Robert Tisch Center for Hospitality, Tourism and Sports Management at New York University. He said that although hotels in the United States this year were expected to spend a record percentage of profits on capital expenditures -- like entertainment systems -- profits per room also were expected to remain well below their 2006 peak. Companies offering new systems ''that are expensive for hotel owners are doing so at a challenging time,'' he said, adding that many hotel owners would consider premium cable service as an alternative. One vanishing option is sex-related entertainment. Omni banned such programs in 1999, citing its support of ''pro-family issues,'' while Marriott International stopped offering it last year. ''If you want it, you can access it online on your own,'' said Mr. Hansen of Marriott.",0.0426179604,0.0136986301,1,0
59,129,The New York Times,"May 19, 2013","What Stock to Buy? Hey, Mom, Don't Ask Me",Late Edition - Final,Section BU; Column 0; Money and Business/Financial Desk; ECONOMIC VIEW; Pg. 4,By N. GREGORY MANKIW.,ENGLISH,Newspaper,940 words,"N. Gregory Mankiw is a professor of economics at Harvard.  OVER the last few weeks, as the stock market has reached new highs, my thoughts have turned to my 85-year-old mother. ''O.K. Mr. Smarty-Pants,'' she often asks me, ''what stock should I buy now?'' She first asked me this question when I was an undergraduate at Princeton, majoring in economics. She asked again when I was a graduate student at M.I.T., earning a Ph.D. in economics. And she has asked it regularly during the last three decades when I have been an economics professor at Harvard. Unfortunately, she has never been happy with my answers, which are usually evasive. Nothing in the toolbox of economists makes us good stock pickers. Yet we economists have written countless studies about the stock market. Here is a summary of what we know: THE MARKET PROCESSES INFORMATION QUICKLY One prominent theory of the stock market -- the efficient markets hypothesis -- explains how answering my mother's question would be a fool's errand. If I knew anything good about a company, that news would be incorporated into the stock's price before I had the chance to act on it. Unless you have extraordinary insight or inside information, you should presume that no stock is a better buy than any other. This theory gained public attention in 1973 with the publication of ''A Random Walk Down Wall Street,'' by Burton G. Malkiel, the Princeton economist. He suggested that so-called expert money managers weren't worth their cost and recommended that investors buy low-cost index funds. Most economists I know follow this advice. PRICE MOVES ARE OFTEN INEXPLICABLE Even if changes in stock prices are unpredictable, as efficient markets theory suggests, we should be able to explain these changes after the fact. That is, we should be able to identify the news that causes stock prices to rise and fall. Sometimes we can, but often we can't. In 1981, Robert J. Shiller, a regular contributor to this column and an economics professor at Yale, published a paper in The American Economic Review called, ''Do Stock Prices Move Too Much to Be Justified by Subsequent Changes in Dividends?'' He argued that stock prices were too volatile. In particular, they fluctuated much more than a rational valuation of the underlying fundamentals would. Mr. Shiller's paper prompted a storm of controversy. My reading of the subsequent academic literature is that his conclusions, though not all his techniques, have survived the debate. Stock prices seem to have a life of their own. Advocates of market rationality now say that stock prices move in response to changing risk premiums, though they can't explain why risk premiums move as they do. Others suggest that the market moves in response to irrational waves of optimism and pessimism, what John Maynard Keynes called the ''animal spirits'' of investors. Either approach is really just an admission of economists' ignorance about what moves the market. HOLDING STOCKS IS A GOOD BET The large, often inexplicable movements in stock prices might deter someone from holding stocks in the first place. Many Americans, even some with significant financial assets, avoid stocks altogether. But doing so is a mistake, because the risk of holding stocks is amply rewarded. In 1985, Rajnish Mehra and Edward C. Prescott, both now at Arizona State University, published a paper in the Journal of Monetary Economics called ''The Equity Premium: A Puzzle.'' They pointed out that over a long time span, stocks have earned, on average, about 6 percent more per year than safe assets like Treasury bills. This large premium, they said, is hard to explain with standard economic models. Sure, stocks are risky, so you can never be certain you'll earn the premium, but they are not risky enough to justify such a large expected return. Since the paper was published, economists have made some limited progress in explaining the equity premium. In any event, the large premium has convinced most of us that stocks should be part of everyone's financial plan. I allocate 60 percent of my financial assets to equities. Stocks may be an especially good deal today. According to a recent study by two economists at the Federal Reserve Bank of New York, given the low level of interest rates, the equity premium now is the highest it has been in 50 years. DIVERSIFICATION IS ESSENTIAL Every time a company experiences a catastrophic decline -- consider Enron or Lehman Brothers -- reports emerge about employees who held most of their wealth in company stock. These stories leave economists slapping their heads. If there is one thing we know for sure, it is that sensible financial management requires diversification. So, if you have more than 5 percent of your assets in any one company, call your broker and sell. Doing otherwise means exposing yourself to extra risk without extra reward. SMART INVESTORS THINK GLOBALLY One widely documented failure of diversification is what economists call home bias. People tend to invest disproportionately in their home country. Most economists take a more global perspective. The United States represents a bit under half of the world's stock portfolio. Because Europe, Japan and the emerging markets don't move in lock step with the United States, it makes sense to invest abroad as well. Which brings me back to my mother's question: If I could pick just one stock for someone to buy, what would it be? I would now suggest something like the Vanguard Total World Stock exchange-traded fund, which started trading in 2008. In one package, you can get low cost and maximal diversification. It may not be as exciting as trying to pick the next Apple or Google, but you'll sleep better at night.",0.0599369085,0.032597266,1,0
